Year,January,February,March,April,May,June,July,August, September,October,November,December,Total
2019,0.45,2.57,2,3.91,6.68,2.72,6.48,6.28,3.92,4.05,2.28,1.83,43.17
2018,1.55,1.33,1.19,2.21,2.99,3.78,4.44,2.83,6.87,3.4,1.45,1.53,33.57
2017,0.98,0.64,0.68,4.45,4.8,4.23,3.12,6.75,1.04,4.49,0.39,0.79,32.36
2016,0.31,1.09,2.26,2.84,2.42,4.49,5.09,7.82,5.47,3.41,2.98,2.14,40.32
2015,0.34,0.35,0.67,2.42,3.55,4.4,7.32,2.99,4.65,2.61,4.52,2.32,36.14
2014,1.42,1.41,0.82,6.27,4.55,11.36,2.27,2.9,0.92,1.75,0.87,0.86,35.4
2013,0.86,1.33,2.04,5.22,6.24,5.17,3.51,2.07,1.35,3,0.52,1.46,32.77
2012,0.36,1.71,1.4,3.04,9.34,3.59,4.9,1.38,0.3,1.3,0.63,1.64,29.59
2011,1,1.12,2.06,2.8,4.04,5.28,5.23,3.03,0.36,0.7,0.3,0.99,26.91
2010,0.45,0.75,0.69,2.32,2.5,6.25,3.03,4.91,5.52,1.61,2.07,2.79,32.89
2009,0.57,0.93,1.5,1.57,0.53,2.86,2.17,6.43,0.46,5.57,0.38,1.83,24.8
2008,0.15,0.4,1.97,3.12,2.53,2.7,2.13,3.35,1.78,1.96,1.14,1.15,22.38
2007,0.31,1.37,3.64,1.11,1.99,2.05,3.29,9.32,6.04,3.63,0.09,1.48,34.32
2006,0.71,0.32,2.01,5.97,1.66,2.81,1.29,6.9,2.44,0.41,0.92,2.13,27.57
2005,1.21,0.96,1.37,2.3,2.78,4.24,2.94,5.22,4.44,5.45,1.53,0.97,33.41
2004,0.23,1.09,2.11,2.06,6.39,3.06,3.36,1.19,4.21,2.32,0.93,0.44,27.39
2003,0.22,0.54,1.44,2.4,6.14,4.66,2.05,1.12,2.2,0.62,0.71,0.62,22.72
2002,0.46,0.41,1.38,3.15,2.83,8.3,5.19,8.3,3.9,4.18,0.09,0.22,38.41
2001,1.21,1.33,1.09,7,4.53,6.35,2.12,2.31,3.5,1.28,2.77,0.74,34.23
2000,0.9,1.08,1.12,1.12,4.56,4.56,6.1,3.19,2.15,1.09,3.38,1.23,30.48
1999,2.67,0.4,1.86,3.43,6.56,3.68,4.55,2.64,2.73,0.92,0.77,0.33,30.54
1998,1.64,0.8,4.56,1.56,4.4,6.52,2.63,5.99,1.32,2.19,1.32,0.46,33.39
1997,1.71,0.3,1.18,1.01,1.7,3.7,12.6,6.01,3.19,2.03,0.69,0.31,34.43
1996,1.87,0.24,1.39,0.76,2.37,4.76,2.09,1.43,1.3,3.01,5.08,1.75,26.05
1995,0.36,0.25,2.11,1.9,2.43,3.38,2.72,4.59,2.21,3.68,0.88,1.15,25.66
1994,1.17,0.78,0.32,3.77,2.21,3.09,4.12,2.9,4.74,4.65,1.39,0.53,29.67
1993,1.25,0.39,1.25,1.99,4.02,6.28,5.58,6.5,2.04,0.79,1.57,0.55,32.21
1992,0.66,0.57,1.56,1.99,1.15,3.68,5.21,4.54,5.2,2.11,1.95,1.05,29.67
1991,0.49,1.03,2.29,3.58,6.35,2.57,2.95,3.14,5.43,2.52,5.29,1.05,36.69
1990,0.1,0.77,3.66,3.8,3.36,9.82,5.06,1.71,1.88,1.23,0.65,1.01,33.05
1989,0.52,1.04,2.19,2.66,3.38,3.5,3.5,2.92,1.28,0.53,1.38,0.42,23.32
1988,1.37,0.3,1.33,1.58,1.7,0.22,1.17,4.29,2.79,0.8,2.86,0.67,19.08
1987,0.63,0.13,0.64,0.16,1.88,1.95,17.9,3.67,1.28,0.6,2.07,1.25,32.16
1986,0.9,0.84,2.03,5.88,3.48,5.34,4.11,4.44,6.9,1.77,0.62,0.31,36.62
1985,0.87,0.5,4.48,1.81,3.65,2.18,2.2,5.02,4.37,3.66,1.72,1.2,31.66
1984,0.88,1.64,1.47,3.86,2.29,7.95,3.03,5.15,2.65,5.48,0.31,2.24,36.95
1983,0.67,1.19,3.22,3.97,6.2,5.22,3.07,3.12,3.34,2.61,4.93,1.53,39.07
1982,2.45,0.43,2.09,1.62,4.99,1.44,0.92,3.8,1.5,3.45,3.27,4.27,30.23
1981,0.3,2.14,0.71,2.17,2.18,4.42,4.09,4.73,1.46,2.69,2.16,0.92,27.97
1980,0.94,0.67,1.12,0.83,2.29,5.52,2.3,3.26,3.68,0.66,0.26,0.24,21.77
1979,1.09,1.39,2.55,0.66,4.55,4.78,2.34,7.04,2.2,3.16,0.98,0.33,31.07
1978,0.38,0.24,0.79,3.63,3.79,7.09,3.19,5.77,2.47,0.19,1.84,0.88,30.26
1977,0.65,0.93,2.66,1.84,2.86,3.57,3.72,9.31,4.43,2.34,1.42,1.15,34.88
1976,0.87,0.59,2.83,0.8,1.13,3.86,2.45,1.39,1.42,0.49,0.16,0.51,16.5
1975,2.82,0.79,1.67,5.4,3.81,7.99,0.58,4.92,1.31,0.27,4.8,0.79,35.15
1974,0.17,1.06,1,2.42,2.08,5.21,1.14,2.75,0.58,1.69,0.66,0.35,19.11
1973,0.92,0.84,1.12,2.32,2.48,1.06,2.9,3.05,2.08,1.29,1.97,1.1,21.13
1972,0.84,0.49,1.25,1.69,2.18,3.31,5.12,2.48,1.96,1.77,1.11,1.57,23.77
1971,1.22,1.74,1.21,1.11,3.14,3.52,3.94,1.78,2.73,5.68,2.67,0.7,29.44
1970,0.47,0.16,2.05,3.55,4.77,1.27,3.66,2.19,3.19,4.97,3.82,0.43,30.53
1969,2.05,0.31,0.9,1.55,1.98,2.93,2.95,0.99,0.49,2.53,0.55,2.06,19.29
1968,0.71,0.13,1.89,2.94,3.74,6.78,6.46,0.75,6.16,5.62,0.54,2.21,37.93
1967,3.63,1.59,0.96,4.07,0.61,7.53,1.36,2.79,0.63,1.73,0.09,0.45,25.44
1966,0.95,1.55,2.48,0.89,1.46,3.51,2.47,4.4,1.69,3.53,0.39,1.02,24.34
1965,0.47,1.59,4.75,3.52,7.86,4.01,4.69,4.04,4.9,0.9,1.98,1.23,39.94
1964,0.47,0.06,1.35,2.98,3.44,2.18,2.02,5.42,5.21,0.57,1.19,1.08,25.97
1963,0.46,0.41,1.18,2.07,5.06,1.91,1.53,1.55,3.47,0.81,0.52,0.6,19.57
